event_id,race_id,event_type,timestamp,time_precision,result,realized_vote_margin,source_url,notes
ap-call-2024-MO-class1-general,2024-MO-class1-general,race_call,2024-11-06T03:28:00Z,minute,0,,https://abc17news.com/news/2024/11/05/ap-race-call-republican-josh-hawley-wins-reelection-to-u-s-senate-from-missouri/,AP call; Josh Hawley; call time stated in report; not publication or settlement time
ap-call-2024-NM-class1-general,2024-NM-class1-general,race_call,2024-11-06T03:36:00Z,minute,1,,https://kvia.com/news/2024/11/05/ap-race-call-democrat-martin-heinrich-wins-reelection-to-u-s-senate-from-new-mexico/,AP call; Martin Heinrich; call time stated in report; not publication or settlement time
ap-call-2024-CA-class1-general,2024-CA-class1-general,race_call,2024-11-06T04:00:00Z,minute,1,,https://www.capradio.org/articles/2024/11/05/adam-schiff-easily-wins-us-senate-seat-in-deep-blue-california/,AP call; Adam Schiff; regular six-year election; 8pm PST; call time stated in report; not publication or settlement time
ap-call-2024-WA-class1-general,2024-WA-class1-general,race_call,2024-11-06T04:00:00Z,minute,1,,https://www.durangoherald.com/articles/associated-press/ap-race-call-democrat-maria-cantwell-wins-reelection-to-u-s-senate-from-washington/,AP call; Maria Cantwell; call time stated in report; not publication or settlement time
ap-call-2024-VA-class1-general,2024-VA-class1-general,race_call,2024-11-06T04:22:00Z,minute,1,,https://www.timminstoday.com/world-news/ap-race-call-democrat-timothy-kaine-wins-reelection-to-us-senate-from-virginia-9765616,AP call; Tim Kaine; call time stated in report; not publication or settlement time
ap-call-2024-OH-class1-general,2024-OH-class1-general,race_call,2024-11-06T04:27:00Z,minute,0,,https://www.tribtoday.com/news/2024/11/ap-race-call-republican-bernie-moreno-wins-election-to-u-s-senate-from-ohio-beating-incumbent-sherrod-brown/,AP call; Bernie Moreno; call time stated in report; not publication or settlement time
ap-call-2024-TX-class1-general,2024-TX-class1-general,race_call,2024-11-06T04:39:00Z,minute,0,,https://www.durangoherald.com/articles/associated-press/ap-race-call-republican-ted-cruz-wins-reelection-to-u-s-senate-from-texas/,AP call; Ted Cruz; call time stated in report; not publication or settlement time
ap-call-2024-MN-class1-general,2024-MN-class1-general,race_call,2024-11-06T04:43:00Z,minute,1,,https://www.yahoo.com/news/ap-race-call-democrat-amy-044327046.html,AP call; Amy Klobuchar; call time stated in report; not publication or settlement time
ap-call-2024-NE-class1-general,2024-NE-class1-general,race_call,2024-11-06T05:06:00Z,minute,0,,https://www.yahoo.com/news/ap-race-call-republican-deb-050704289.html,AP call; Deb Fischer; call time stated in report; not publication or settlement time
ap-call-2024-MT-class1-general,2024-MT-class1-general,race_call,2024-11-06T11:26:00Z,minute,0,,https://www.sootoday.com/world-news/ap-race-call-republican-tim-sheehy-wins-election-to-us-senate-from-montana-beating-incumbent-jon-tester-9766877,AP call; Tim Sheehy; call time stated in report; not publication or settlement time
ap-call-2024-WI-class1-general,2024-WI-class1-general,race_call,2024-11-06T18:42:00Z,minute,1,,https://madison365.com/ap-race-call-democrat-tammy-baldwin-wins-reelection-to-u-s-senate-from-wisconsin/,AP call; Tammy Baldwin; call time stated in report; not publication or settlement time
ap-call-2024-MI-class1-general,2024-MI-class1-general,race_call,2024-11-06T20:12:00Z,minute,1,,https://kvia.com/ap-national-news/2024/11/06/why-ap-called-the-michigan-senate-race-for-elissa-slotkin/,AP call; Elissa Slotkin; call time stated in report; not publication or settlement time
ap-call-2024-ME-class1-general,2024-ME-class1-general,race_call,2024-11-07T15:14:00Z,minute,1,,https://www.wabi.tv/2024/11/07/independent-angus-king-wins-reelection-us-senate-maine/,AP call; Angus King; Democratic under contract rules; call time stated in report; not publication or settlement time
ap-call-2024-PA-class1-general,2024-PA-class1-general,race_call,2024-11-07T21:09:00Z,minute,0,,https://www.clickondetroit.com/news/politics/2024/11/06/why-ap-hasnt-called-the-pennsylvania-senate-race/,AP call; David McCormick; initial AP call before recount; call time stated in report; not publication or settlement time
ap-call-2024-NV-class1-general,2024-NV-class1-general,race_call,2024-11-09T05:15:00Z,minute,1,,https://apnews.com/article/f6d0cdc75ba30d7d4f00c0dc75406d50,AP call; Jacky Rosen; call time stated in report; not publication or settlement time
ap-call-2024-AZ-class1-general,2024-AZ-class1-general,race_call,2024-11-12T04:49:00Z,minute,1,,https://www.azpm.org/s/99838-why-ap-called-the-arizona-senate-race-for-ruben-gallego/,AP call; Ruben Gallego; call time stated in report; not publication or settlement time
